Dimkata Angelov - Gaberot,Кавадарци,Braka Hadzi-Tefovi,41.4320592,22.0140878
Библиотека Феткин,Кавадарци,7ми Септември,41.4340077,22.0124363
Факултет за туризам и угостителство,Охрид,Партизанска,41.1078977,20.8087351
Григор Прличев,Охрид,Булевар Туристичка,41.1138095,20.8059333
Централна детска градинка,Охрид,Димитар Влахов,41.113318,20.8057101
Gradska Biblioteka,Крива Паланка,Свети Јоаким Осоговски,42.2055718,22.3361557
Партизан,Крива Паланка,Свети Јоаким Осоговски,42.2057455,22.3356267
Бели Мурги,Скопје,Ацо Караманов,41.9880653,21.4158375
ООУ „Дедо Илјо Малешевски“,Берово,Маршал Тито,41.7083571,22.8557297
Детска градинка „23 Август“,Берово,Задарска,41.70598,22.8538
ОСУ „Ацо Русковски“,Берово,Даме Груев,41.71394,22.85415
ЦСО Нико Нестор,Струга,Пролетерски Бригади,41.182665,20.6755028
Економско училиште,Тетово,Љубо Момировски,42.0102278,20.9800995
ОСЕУ '8-ми Септември',Тетово,Љубо Момировски,42.0101321,20.9800652
Хаџи Јован Шишко,Скопје,,42.0387406,21.4242968
ООУ „Свети Климент Охридски“ - Бутел,Скопје,Рамно,42.0401876,21.445394
Музичко-балетско училиште „Илија Николовски - Луј“,Скопје,Плоштад 'Карпошово Востание',41.9983639,21.4355617
Партенија Зографски,Скопје,Дичо Петров,41.982566,21.4363017
O.U Goce Delcev,Ресен,29. Ноември,41.0897292,21.0162785
о.у. 'Гоце Делчев',Илинден,Улица 9,41.9930543,21.581798
Шишка,Кавадарци,,41.4419022,22.0199221
Gafurr Luma,Qafëshqipja,Osman Luma,42.1667974,21.1882299
ОУ Св. Климент Охридски,Облешево,A3,41.882871,22.3334866
Hristo Uzunov,Охрид,Марко Нестороски,41.1196746,20.8117352
Skolata Smojmirovo,Смојмирово,R1302,41.7355541,22.8440574
Славчо Стоименски,Виница,Бел Камен,41.8835512,22.5039001
Гоце Длчев,Виница,Бел Камен,41.8841103,22.5054236
City Library,Виница,Ангел Винички,41.8840704,22.5047369
Градинка Мирче Ацев,Скопје,Арсо Мицков,42.0183708,21.3558666
Игротека Робин Худ,Скопје,Дичо Петров,41.9824944,21.4357786
Дом за Слепи,Скопје,Георги Димитров,41.9757689,21.4411963
СОУ Мирко Милески-Урош,Кичево,Рудничка,41.5119453,20.9568913
ООУ Др Владимир Полежиноски-Полежина,Кичево,Левче Стефаноски - Тарзан,41.5048429,20.9609897
ОУ Кочо Рацин Охрид,Охрид,Радојица Новичиќ,41.1358547,20.8102678
Gradinka Mirce Acev,Скопје,Никола Пушкаров,42.006901,21.3508793
ОУ Александар Урдаревски,Мирковци,R2239,42.0941301,21.3974516
МВР Штип,Штип,Христијан Тодоровски Карпош,41.7382727,22.2021942
ИТ Академија Александрија,Скопје,Атинска,41.9967522,21.4073092
Основно Училиште Видое Подгорец,Колешино,R1402,41.381688,22.8164029
Комерцијална Банка,Скопје,"Плоштад ""Карпошово Востание""",41.9973091,21.4351329
ПООУ Стале Попов,Дуње,R29172,41.2796395,21.670958
DSU Kosta Susinov,Радовиш,Кеј 8ми Септември,41.6363397,22.4672673
OU Krste Petkov Misirkov,Радовиш,Булевар Александар Македонски,41.6354256,22.468426
ОМУ Ристо Јуруков,Кочани,Кузман Јосифовски Питу,41.9185555,22.4134704
Supero,Дражево,R1402,41.3743389,22.9194074
Коле Канински,Битола,Паца Мирчева,41.0045768,21.3467789
оу Коле Канински,Битола,Паца Мирчева,41.0045387,21.3464495
"ОУ ""Ванчо Китанов""",Пехчево,Даме Груев,41.7624428,22.8835063
"Детска градинка ""7-ми Септември""",Пехчево,Даме Груев,41.762945,22.8829109
Holiday Han,Гевгелија,Маршал Тито,41.1404029,22.5050961
Модест Мусоргски,Скопје,,41.9996873,21.4940443
"Детска Градинка ""Росица""",Охрид,Пере Тошев,41.1195356,20.7938178
Маршал Тито,Струмица,Пиринска,41.4335818,22.6362779
Народна гимназија Јане Сандански,Струмица,Моша Пијаде,41.4398906,22.6372536
Основно училиште Сандо Масев,Струмица,Моша Пијаде,41.440341,22.6362846
Видое Подгорец,Струмица,1ви Мај,41.4368796,22.6408215
Никола Вапцаров,Струмица,Максим Горки,41.4295445,22.6488595
Ѓуро Салај,Струмица,,41.443889,22.6370879
